VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p1"
 9.593405874E-01 1.000000000E-01 8.529421464E-03
 9.637350279E-01 1.000000000E-01 7.988207527E-03
 9.678617316E-01 1.000000000E-01 7.478676742E-03
 9.717357669E-01 1.000000000E-01 6.999406255E-03
 9.753716071E-01 1.000000000E-01 6.549003376E-03
 9.787831112E-01 1.000000000E-01 6.126502722E-03
 9.819835138E-01 1.000000000E-01 5.730975208E-03
 9.849854210E-01 1.000000000E-01 5.361183749E-03
 9.878008136E-01 1.000000000E-01 5.015289128E-03
 9.904410549E-01 1.000000000E-01 4.691472819E-03
 9.929169020E-01 1.000000000E-01 4.388104312E-03
 9.952385213E-01 1.000000000E-01 4.103714171E-03
 9.974155063E-01 1.000000000E-01 3.836971700E-03
 9.994568971E-01 1.000000000E-01 3.586666439E-03
 1.001371202E+00 1.000000000E-01 3.351692792E-03
 1.003166418E+00 1.000000000E-01 3.131037227E-03
 1.004850057E+00 1.000000000E-01 2.923767577E-03
 1.006429166E+00 1.000000000E-01 2.729024056E-03
 1.007910349E+00 1.000000000E-01 2.546011681E-03
 1.009299793E+00 1.000000000E-01 2.373993837E-03
 1.010603290E+00 1.000000000E-01 2.212286773E-03
 1.011826257E+00 1.000000000E-01 2.060254870E-03
 1.012973756E+00 1.000000000E-01 1.917306532E-03
 1.014050521E+00 1.000000000E-01 1.782890596E-03
 1.015060968E+00 1.000000000E-01 1.656493172E-03
 1.016009223E+00 1.000000000E-01 1.537634832E-03
 1.016899134E+00 1.000000000E-01 1.425868104E-03
 1.017734290E+00 1.000000000E-01 1.320775214E-03
 1.018518038E+00 1.000000000E-01 1.221966042E-03
 1.019253496E+00 1.000000000E-01 1.129076259E-03
 1.019943571E+00 1.000000000E-01 1.041765629E-03
 1.020590968E+00 1.000000000E-01 9.597164411E-04
 1.021198206E+00 1.000000000E-01 8.826320715E-04
 1.021767631E+00 1.000000000E-01 8.102356522E-04
 1.022301424E+00 1.000000000E-01 7.422688365E-04
 1.022801613E+00 1.000000000E-01 6.784906556E-04
 1.023270082E+00 1.000000000E-01 6.186779562E-04
 1.023708584E+00 1.000000000E-01 5.626272827E-04
 1.024118742E+00 1.000000000E-01 5.101483505E-04
 1.024502067E+00 1.000000000E-01 4.610623495E-04
 1.024859955E+00 1.000000000E-01 4.152016664E-04
 1.025193701E+00 1.000000000E-01 3.724095536E-04
 1.025504504E+00 1.000000000E-01 3.325397628E-04
 1.025793470E+00 1.000000000E-01 2.954561579E-04
 1.026061620E+00 1.000000000E-01 2.610323178E-04
 1.026309896E+00 1.000000000E-01 2.291511388E-04
 1.026539163E+00 1.000000000E-01 1.997044435E-04
 1.026750213E+00 1.000000000E-01 1.725926005E-04
 1.026943772E+00 1.000000000E-01 1.477241602E-04
 1.027120501E+00 1.000000000E-01 1.250155084E-04
 1.027281000E+00 1.000000000E-01 1.043905410E-04
 1.027425811E+00 1.000000000E-01 8.578036106E-05
 1.027555420E+00 1.000000000E-01 6.912299845E-05
 1.027670261E+00 1.000000000E-01 5.436315419E-05
 1.027770716E+00 1.000000000E-01 4.145196879E-05
 1.027857118E+00 1.000000000E-01 3.034681536E-05
 1.027929752E+00 1.000000000E-01 2.101111731E-05
 1.027988858E+00 1.000000000E-01 1.341419079E-05
 1.028034629E+00 1.000000000E-01 7.531111594E-06
 1.028067216E+00 1.000000000E-01 3.342606582E-06
 1.028086726E+00 1.000000000E-01 8.349693269E-07
 1.028093222E+00 1.000000000E-01 0.000000000E+00

ZONE T="SLICE_Y_0p75"
 1.210699168E+00 7.500000000E-01 0.000000000E+00
 1.210693962E+00 7.500000000E-01 -6.691934626E-07
 1.210678325E+00 7.500000000E-01 -2.678961251E-06
 1.210652208E+00 7.500000000E-01 -6.035875190E-06
 1.210615524E+00 7.500000000E-01 -1.075092041E-05
 1.210568153E+00 7.500000000E-01 -1.683954355E-05
 1.210509940E+00 7.500000000E-01 -2.432172033E-05
 1.210440693E+00 7.500000000E-01 -3.322204258E-05
 1.210360182E+00 7.500000000E-01 -4.356982493E-05
 1.210268142E+00 7.500000000E-01 -5.539923107E-05
 1.210164265E+00 7.500000000E-01 -6.874941988E-05
 1.210048205E+00 7.500000000E-01 -8.366471122E-05
 1.209919572E+00 7.500000000E-01 -1.001947715E-04
 1.209777931E+00 7.500000000E-01 -1.183948189E-04
 1.209622801E+00 7.500000000E-01 -1.383258477E-04
 1.209453653E+00 7.500000000E-01 -1.600548711E-04
 1.209269906E+00 7.500000000E-01 -1.836551824E-04
 1.209070923E+00 7.500000000E-01 -2.092066319E-04
 1.208856011E+00 7.500000000E-01 -2.367959193E-04
 1.208624417E+00 7.500000000E-01 -2.665168985E-04
 1.208375321E+00 7.500000000E-01 -2.984708906E-04
 1.208107837E+00 7.500000000E-01 -3.327670033E-04
 1.207821005E+00 7.500000000E-01 -3.695224485E-04
 1.207513786E+00 7.500000000E-01 -4.088628529E-04
 1.207185061E+00 7.500000000E-01 -4.509225517E-04
 1.206833620E+00 7.500000000E-01 -4.958448537E-04
 1.206458161E+00 7.500000000E-01 -5.437822643E-04
 1.206057281E+00 7.500000000E-01 -5.948978446E-04
 1.205629468E+00 7.500000000E-01 -6.493704429E-04
 1.205173097E+00 7.500000000E-01 -7.073931857E-04
 1.204686420E+00 7.500000000E-01 -7.691731273E-04
 1.204167559E+00 7.500000000E-01 -8.349321660E-04
 1.203614492E+00 7.500000000E-01 -9.049080335E-04
 1.203025053E+00 7.500000000E-01 -9.793553613E-04
 1.202396911E+00 7.500000000E-01 -1.058546836E-03
 1.201727568E+00 7.500000000E-01 -1.142774450E-03
 1.201014341E+00 7.500000000E-01 -1.232350871E-03
 1.200254354E+00 7.500000000E-01 -1.327610926E-03
 1.199444522E+00 7.500000000E-01 -1.428913246E-03
 1.198581540E+00 7.500000000E-01 -1.536642072E-03
