#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Cut/Slice DATA SUBMITTAL FORM for Test Case ###, May 4th 2026
#
#  
#
#
#       NOMENCLATURE:
#                  X [m]:  X-coordinate of the surface (clean for reference)
#                  Y [m]:  Y-coordinate of the surface (clean for reference)
#                  Z [m]:  Z-coordinate of the surface (clean for reference)
#             X_ICED [m]:  X-coordinate of the ice surface (1/1 layer only)
#             Y_ICED [m]:  Y-coordinate of the ice surface (1/1 layer only)
#             Z_ICED [m]:  Z-coordinate of the ice surface (1/1 layer only)
#                  s [m]:  Wrap distance from high-light on surface (X, Y, Z)
#                 Cp [-]:  Pressure coefficient
#            HTC [W/m2K]:  Convective Heat Transfer Coefficient
#               Beta [-]:  Collection efficiency
#                 Ts [K]:  Surface temperature
#                 FF [-]:  Freezing fraction
#                  k [m]:  Surface roughness height (OPTIONAL)
#         RhoIce [kg/m3]:  Ice density (OPTIONAL)
#      HTC_CLEAN [W/m2K]:  Convective Heat Transfer Coefficient on the surface without roughness (OPTIONAL)
#
#                XXX:   Participant ID (assigned by IPW committee); e.g., 001, 020, 147
#                ###:   Test case name (NACA0012_AE3932, NACA0012_3933, ONERAM6)
#            DATASET:   Sequential number, should start at 01 for each participant 
#
#    E.g. TITLE field could be: 001_NACA0012_AE3932_03 for the third submission by participant 1 for the case NACA0012_AE3932
#
#
#    FLOW CONDITIONS:
#                        AOA : 4.0 deg
#                 Mach Number: 0.3114 [-]
#                         MAC: 0.5334 [m]
#             Reynolds Number: 3.8441 million (based on MAC)
#             Freestream Temp: XXX [K]
#              Reference area: 0.97548 [m2]
#     Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

                                                             <- Optional ->                 
VARIABLES = "X" "Y" "Z" "Cp" "HTC" "Beta" "Ts" "FF" "k" "RhoIce" "HTC_CLEAN"

##### INTERNAL COMMENT : WILL ADD DETAILS ABOUT THE SLICE ONCE THE FORMAT IS AGREED #####

# The following section contains first-layer surface variables for the selected grid level.
# Each ZONE corresponds to one slice location and one droplet-bin distribution.
ZONE T="SLICE_Y_0p1_BINS03_KS_1mm_CUTDATA"
0.43300 0.75000 0.00000 0.69690 741.85725 0.62652 273.39655 0.00000 -999.00000 680.00000 -999.00000 
0.43333 0.75000 0.00284 0.52287 781.67393 0.58841 273.17201 0.01674 -999.00000 680.00000 -999.00000 
0.43442 0.75000 0.00580 0.25815 786.28817 0.51590 273.15000 0.05923 -999.00000 680.00000 -999.00000 
0.43651 0.75000 0.00906 -0.06338 760.51694 0.41069 273.15000 0.11890 -999.00000 680.00000 -999.00000 
0.44008 0.75000 0.01265 -0.39750 698.17248 0.26547 273.15000 0.19854 -999.00000 680.00000 -999.00000 
0.44603 0.75000 0.01644 -0.64549 593.63597 0.09641 273.15000 0.36649 -999.00000 680.00000 -999.00000 
0.45595 0.75000 0.01997 -0.70766 479.14370 0.00567 271.87329 0.74436 -999.00000 680.00000 -999.00000 
0.47252 0.75000 0.02310 -0.56631 406.80633 0.00000 272.43782 0.50000 -999.00000 680.00000 -999.00000 
0.50008 0.75000 0.02687 -0.41758 372.46987 0.00000 274.31108 0.00000 -999.00000 680.00000 -999.00000 
0.54481 0.75000 0.03124 -0.36100 349.44805 0.00000 274.36137 0.00000 -999.00000 680.00000 -999.00000 
0.61337 0.75000 0.03536 -0.32183 329.54433 0.00000 274.39487 0.00000 -999.00000 680.00000 -999.00000 
0.70833 0.75000 0.03779 -0.29330 306.74183 0.00000 274.41694 0.00000 -999.00000 680.00000 -999.00000 
0.82185 0.75000 0.03574 -0.25298 278.52872 0.00000 274.44765 0.00000 -999.00000 680.00000 -999.00000 
0.93537 0.75000 0.02864 -0.17561 249.39761 0.00000 274.51098 0.00000 -999.00000 680.00000 -999.00000 
1.03033 0.75000 0.02041 -0.09422 224.21225 0.00000 274.57689 0.00000 -999.00000 680.00000 -999.00000 
1.09888 0.75000 0.01347 -0.03542 202.37681 0.00000 274.62056 0.00000 -999.00000 680.00000 -999.00000 
1.14362 0.75000 0.00830 0.01106 183.71775 0.00000 274.65215 0.00000 -999.00000 680.00000 -999.00000 
1.17118 0.75000 0.00491 0.04852 170.53726 0.00000 274.67718 0.00000 -999.00000 680.00000 -999.00000 
1.18775 0.75000 0.00287 0.07233 162.79749 0.00000 274.69273 0.00000 -999.00000 680.00000 -999.00000 
1.19766 0.75000 0.00165 0.08452 158.50920 0.00000 274.70012 0.00000 -999.00000 680.00000 -999.00000 
1.20361 0.75000 0.00090 0.09153 157.59562 0.00000 274.70569 0.00000 -999.00000 680.00000 -999.00000 
1.20719 0.75000 0.00045 0.09495 161.22434 0.00000 274.71196 0.00000 -999.00000 680.00000 -999.00000 
1.20927 0.75000 0.00018 0.09718 163.66819 0.00000 274.71611 0.00000 -999.00000 680.00000 -999.00000 
1.21036 0.75000 0.00004 0.06668 184.60814 0.00000 274.70215 0.00000 -999.00000 680.00000 -999.00000 
1.21070 0.75000 0.00000 0.04391 211.44155 0.00000 274.69848 0.00000 -999.00000 680.00000 -999.00000 

ZONE T="SLICE_Y_1p4_BINS03_KS_1mm_CUTDATA"
1.39331 1.40000 0.00000 0.02513 239.58995 0.00000 274.69375 0.00000 -999.00000 680.00000 -999.00000 
1.39305 1.40000 -0.00003 0.06705 221.63517 0.00000 274.72328 0.00000 -999.00000 680.00000 -999.00000 
1.39223 1.40000 -0.00014 0.09844 195.87622 0.00000 274.73991 0.00000 -999.00000 680.00000 -999.00000 
1.39066 1.40000 -0.00034 0.09230 190.06134 0.00000 274.73071 0.00000 -999.00000 680.00000 -999.00000 
1.38798 1.40000 -0.00068 0.08891 184.72723 0.00000 274.72427 0.00000 -999.00000 680.00000 -999.00000 
1.38350 1.40000 -0.00124 0.08192 185.93225 0.00000 274.71867 0.00000 -999.00000 680.00000 -999.00000 
1.37604 1.40000 -0.00216 0.07076 190.41138 0.00000 274.71132 0.00000 -999.00000 680.00000 -999.00000 
1.36358 1.40000 -0.00369 0.04974 198.02168 0.00000 274.69660 0.00000 -999.00000 680.00000 -999.00000 
1.34284 1.40000 -0.00624 0.01887 210.42010 0.00000 274.67491 0.00000 -999.00000 680.00000 -999.00000 
1.30919 1.40000 -0.01013 -0.01403 227.19356 0.00000 274.65249 0.00000 -999.00000 680.00000 -999.00000 
1.25762 1.40000 -0.01536 -0.05158 246.75001 0.00000 274.62560 0.00000 -999.00000 680.00000 -999.00000 
1.18618 1.40000 -0.02154 -0.10667 270.53636 0.00000 274.58234 0.00000 -999.00000 680.00000 -999.00000 
1.10078 1.40000 -0.02689 -0.15394 299.72276 0.00000 274.54628 0.00000 -999.00000 680.00000 -999.00000 
1.01538 1.40000 -0.02843 -0.16167 329.45151 0.00000 274.54582 0.00000 -999.00000 680.00000 -999.00000 
0.94395 1.40000 -0.02660 -0.15486 357.11103 0.00000 274.55744 0.00000 -999.00000 680.00000 -999.00000 
0.89237 1.40000 -0.02350 -0.14476 383.76689 0.00198 273.44250 0.50000 -999.00000 680.00000 -999.00000 
0.85872 1.40000 -0.02022 -0.12802 408.64371 0.01356 272.73724 0.69577 -999.00000 680.00000 -999.00000 
0.83799 1.40000 -0.01737 -0.14323 444.01708 0.04482 273.15000 0.30856 -999.00000 680.00000 -999.00000 
0.82552 1.40000 -0.01502 -0.12358 514.69427 0.13386 273.15000 0.18335 -999.00000 680.00000 -999.00000 
0.81807 1.40000 -0.01237 0.03542 621.38977 0.28921 273.15000 0.11484 -999.00000 680.00000 -999.00000 
0.81359 1.40000 -0.00952 0.29215 721.18685 0.44364 273.15000 0.06078 -999.00000 680.00000 -999.00000 
0.81090 1.40000 -0.00681 0.52497 772.05347 0.55552 273.15049 0.01732 -999.00000 680.00000 -999.00000 
0.80933 1.40000 -0.00436 0.67439 788.81537 0.62841 273.35730 0.00081 -999.00000 680.00000 -999.00000 
0.80851 1.40000 -0.00214 0.72839 802.95861 0.66680 273.54907 0.00000 -999.00000 680.00000 -999.00000 
0.80826 1.40000 0.00000 0.67555 843.08745 0.66913 273.34460 0.00004 -999.00000 680.00000 -999.00000 
0.80851 1.40000 0.00214 0.51186 882.60932 0.63328 273.15233 0.01499 -999.00000 680.00000 -999.00000 
0.80933 1.40000 0.00436 0.25934 880.05722 0.56332 273.15000 0.05239 -999.00000 680.00000 -999.00000 
0.81090 1.40000 0.00681 -0.04716 841.34970 0.46139 273.15000 0.10614 -999.00000 680.00000 -999.00000 
0.81359 1.40000 0.00952 -0.36837 761.07025 0.32106 273.15000 0.17378 -999.00000 680.00000 -999.00000 
0.81807 1.40000 0.01237 -0.61016 635.41633 0.14450 273.15000 0.28724 -999.00000 680.00000 -999.00000 
0.82552 1.40000 0.01502 -0.67520 506.21384 0.02450 273.15000 0.64925 -999.00000 680.00000 -999.00000 
0.83799 1.40000 0.01737 -0.54620 429.58443 0.00000 271.60413 0.96710 -999.00000 680.00000 -999.00000 
0.85872 1.40000 0.02022 -0.39997 394.74950 0.00000 272.21302 0.50000 -999.00000 680.00000 -999.00000 
0.89237 1.40000 0.02350 -0.32997 368.79190 0.00000 274.39411 0.00000 -999.00000 680.00000 -999.00000 
0.94395 1.40000 0.02660 -0.27173 341.87362 0.00000 274.44463 0.00000 -999.00000 680.00000 -999.00000 
1.01538 1.40000 0.02843 -0.22727 312.28010 0.00000 274.48046 0.00000 -999.00000 680.00000 -999.00000 
1.10078 1.40000 0.02689 -0.18457 279.73091 0.00000 274.51221 0.00000 -999.00000 680.00000 -999.00000 
1.18618 1.40000 0.02154 -0.11771 248.03635 0.00000 274.56449 0.00000 -999.00000 680.00000 -999.00000 
1.25762 1.40000 0.01536 -0.05052 222.69756 0.00000 274.61672 0.00000 -999.00000 680.00000 -999.00000 
1.30919 1.40000 0.01013 -0.00623 203.14473 0.00000 274.64794 0.00000 -999.00000 680.00000 -999.00000 
1.34284 1.40000 0.00624 0.02704 187.57349 0.00000 274.66938 0.00000 -999.00000 680.00000 -999.00000 
1.36358 1.40000 0.00369 0.05519 176.71000 0.00000 274.68785 0.00000 -999.00000 680.00000 -999.00000 
1.37604 1.40000 0.00216 0.07353 170.36055 0.00000 274.69989 0.00000 -999.00000 680.00000 -999.00000 
1.38350 1.40000 0.00124 0.08300 166.95565 0.00000 274.70585 0.00000 -999.00000 680.00000 -999.00000 
1.38798 1.40000 0.00068 0.08859 166.89474 0.00000 274.71088 0.00000 -999.00000 680.00000 -999.00000 
1.39066 1.40000 0.00034 0.09143 172.88414 0.00000 274.71804 0.00000 -999.00000 680.00000 -999.00000 
1.39223 1.40000 0.00014 0.09444 179.47428 0.00000 274.72566 0.00000 -999.00000 680.00000 -999.00000 
1.39305 1.40000 0.00003 0.05858 206.95194 0.00000 274.70782 0.00000 -999.00000 680.00000 -999.00000 
1.39331 1.40000 0.00000 0.02513 239.58995 0.00000 274.69375 0.00000 -999.00000 680.00000 -999.00000 

ZONE T="SLICE_Y_0p1_BINS07_KS_1mm_CUTDATA"
1.02809 0.10000 0.00000 0.04326 195.01586 0.00000 274.68889 0.00000 -999.00000 680.00000 -999.00000 
1.02767 0.10000 -0.00005 0.08024 180.48654 0.00000 274.71188 0.00000 -999.00000 680.00000 -999.00000 
1.02631 0.10000 -0.00023 0.09958 162.14088 0.00000 274.71697 0.00000 -999.00000 680.00000 -999.00000 
