TITLE = "002_NACA0012_AE3933_01 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_SINGLE_LAYER"
0.0728595199436 0.9144 -0.0287696840883
0.0689969957468 0.9144 -0.0284383129526
0.0651323788559 0.9144 -0.0280770148954
0.0612749473465 0.9144 -0.0276751167114
0.0574061450671 0.9144 -0.0272539648112
0.0535445281693 0.9144 -0.0267922127842
0.0496808185772 0.9144 -0.0263005338357
0.0458092260389 0.9144 -0.0258394793734
0.041901916327 0.9144 -0.0254410690131
0.0379616797004 0.9144 -0.0251452053168
0.0337879546783 0.9144 -0.0256676222381
0.0295193562043 0.9144 -0.0262668442903
0.0254732948243 0.9144 -0.0257478189451
0.0215320141744 0.9144 -0.0247202456684
0.0175795724887 0.9144 -0.0235330621437
0.0136224575841 0.9144 -0.0221356926036
0.00968431829931 0.9144 -0.0204362635896
0.00590244281087 0.9144 -0.0181043935696
0.00266860299512 0.9144 -0.0147217348452
0.000111292135706 0.9144 -0.0115524035011
-0.00229443279393 0.9144 -0.00897393737514
-0.00487923142205 0.9144 -0.00655835958669
-0.00966494904339 0.9144 -0.00420646527596
-0.0167456155255 0.9144 -1.41207487522e-07
-0.0159876579912 0.9144 0.00564648613777
-0.0142213948392 0.9144 0.0109225466452
-0.00931846310411 0.9144 0.0140622059262
-0.00197716226871 0.9144 0.0135831422101
0.00389262672547 0.9144 0.0129310094293
0.00835606479053 0.9144 0.0137543687915
0.0122891206831 0.9144 0.0148513972077
0.0160690541444 0.9144 0.0159878403553
0.0197891337628 0.9144 0.0171200981145
0.0234806815891 0.9144 0.0182303118985
0.0271849953148 0.9144 0.0193013206852
0.0309141432747 0.9144 0.0203038951179
0.0346495693173 0.9144 0.0212166887861
0.0383991563888 0.9144 0.022070326176
0.0421615093597 0.9144 0.0228847585686
0.0459373257948 0.9144 0.0236500103234
0.0497173276184 0.9144 0.0243554082352
