# XYZ HTC extracted from TC_NACA0012_3932_L1_cutData_V2.dat
# Source zone: SLICE_Y_0p9144_BINS15_KS_VAR_CUTDATA
VARIABLES = "X" "Y" "Z" "HTC"
ZONE T="BINS15_XYZ_HTC"
0.399422519	0.914400000	-0.001585980 149.270143300
0.396882873	0.914400000	-0.001142424 150.355947800
0.396882776	0.914400000	-0.001142407 150.355989200
0.394342839	0.914400000	-0.000700386 151.447473100
0.394342742	0.914400000	-0.000700369 151.447514800
0.391802538	0.914400000	-0.000259971 152.538473200
0.391802441	0.914400000	-0.000259954 152.538514900
0.391802344	0.914400000	-0.000259937 152.538555900
0.195254167	0.914400000	0.027330654	245.186021700
0.192687392	0.914400000	0.027572133	246.814014700
0.192687294	0.914400000	0.027572142	246.814076800
0.190120119	0.914400000	0.027809216	248.462475200
0.190120021	0.914400000	0.027809225	248.462538000
0.187552422	0.914400000	0.028041790	250.139937200
0.187552324	0.914400000	0.028041799	250.140007400
0.184984325	0.914400000	0.028269708	251.878886900
0.184984227	0.914400000	0.028269716	251.878946800
0.184984129	0.914400000	0.028269725	251.879008700
0.182415707	0.914400000	0.028493043	253.666931500
0.182415609	0.914400000	0.028493052	253.667005300
0.179846774	0.914400000	0.028711432	255.432890200
0.177277528	0.914400000	0.028925004	257.243756200
0.177277430	0.914400000	0.028925012	257.243825300
0.174707784	0.914400000	0.029133624	259.078038100
0.174707686	0.914400000	0.029133632	259.078108100
0.172137629	0.914400000	0.029337067	260.890830600
0.172137531	0.914400000	0.029337075	260.890906500
0.169567061	0.914400000	0.029535435	262.773603100
0.169566963	0.914400000	0.029535443	262.773668200
0.169566865	0.914400000	0.029535450	262.773740600
0.166995996	0.914400000	0.029728466	264.674014600
0.164424727	0.914400000	0.029916045	266.577116500
0.164424629	0.914400000	0.029916052	266.577198900
0.164424531	0.914400000	0.029916059	266.577265500
0.161852875	0.914400000	0.030098193	268.578413300
0.159280819	0.914400000	0.030274681	270.587118900
0.159280721	0.914400000	0.030274687	270.587195600
0.159280623	0.914400000	0.030274694	270.587270800
0.156708167	0.914400000	0.030445350	272.558397100
0.156708069	0.914400000	0.030445356	272.558476700
0.154135250	0.914400000	0.030610226	274.644761900
0.151562044	0.914400000	0.030769140	276.824522200
0.151561946	0.914400000	0.030769146	276.824605400
0.148988376	0.914400000	0.030921817	278.959177700
0.148988278	0.914400000	0.030921823	278.959259100
0.146414332	0.914400000	0.031068229	281.108197900
0.146414234	0.914400000	0.031068234	281.108279900
0.146414136	0.914400000	0.031068240	281.108366300
0.143839839	0.914400000	0.031208273	283.375111900
0.141265192	0.914400000	0.031341796	285.732481200
0.141265093	0.914400000	0.031341801	285.732571200
0.141264995	0.914400000	0.031341805	285.732661400
0.138690008	0.914400000	0.031468582	288.098999100
0.136114695	0.914400000	0.031588447	290.465407900
0.136114596	0.914400000	0.031588452	290.465498300
0.133538968	0.914400000	0.031701298	292.879956900
0.133538869	0.914400000	0.031701302	292.880049100
0.133538771	0.914400000	0.031701306	292.880130300
0.130962827	0.914400000	0.031806961	295.342886300
0.130962729	0.914400000	0.031806965	295.342985400
0.128386507	0.914400000	0.031905259	297.848250700
0.125810006	0.914400000	0.031996024	300.400419800
0.125809908	0.914400000	0.031996027	300.400526300
0.123233141	0.914400000	0.032079034	302.991122400
0.123233042	0.914400000	0.032079038	302.991221200
0.120656033	0.914400000	0.032154097	305.659352600
0.120655935	0.914400000	0.032154100	305.659454400
0.118078695	0.914400000	0.032220999	308.458460600
0.118078597	0.914400000	0.032221001	308.458577800
0.115501151	0.914400000	0.032279523	311.309519600
0.115501053	0.914400000	0.032279525	311.309632300
0.112919163	0.914400000	0.032329517	314.073785400
0.112919064	0.914400000	0.032329519	314.073876300
0.110459970	0.914400000	0.032368941	316.708843200
0.110459876	0.914400000	0.032368942	316.708943800
0.108117775	0.914400000	0.032398739	319.258457900
0.108117686	0.914400000	0.032398740	319.258542100
0.108117601	0.914400000	0.032398741	319.258654200
0.105886948	0.914400000	0.032419960	321.852973200
0.103762461	0.914400000	0.032433645	324.437618600
0.103762380	0.914400000	0.032433646	324.437730100
0.101739034	0.914400000	0.032440359	326.892582300
0.101738957	0.914400000	0.032440359	326.892663000
0.099811950	0.914400000	0.032441167	329.340923700
0.099811876	0.914400000	0.032441167	329.341017100
0.097976630	0.914400000	0.032436565	331.728963700
0.097976560	0.914400000	0.032436565	331.729054800
0.096228732	0.914400000	0.032427206	333.945824800
0.096228665	0.914400000	0.032427206	333.945909400
0.094564095	0.914400000	0.032413768	336.072727100
0.094564032	0.914400000	0.032413768	336.072808200
0.092978766	0.914400000	0.032396742	338.206699000
0.092978706	0.914400000	0.032396742	338.206780400
0.091468978	0.914400000	0.032376716	340.365531900
0.091468920	0.914400000	0.032376715	340.365614300
0.090031133	0.914400000	0.032353904	342.486240600
0.090031078	0.914400000	0.032353903	342.486321500
0.090031023	0.914400000	0.032353902	342.486391400
0.088592273	0.914400000	0.032327499	344.817007900
0.088592218	0.914400000	0.032327498	344.817092500
0.087153534	0.914400000	0.032297390	347.024932700
0.085714936	0.914400000	0.032263557	348.759385900
0.085714881	0.914400000	0.032263556	348.759470700
0.084276379	0.914400000	0.032225835	350.797411100
0.084276324	0.914400000	0.032225834	350.797488800
0.082837925	0.914400000	0.032184392	353.045904300
0.082837870	0.914400000	0.032184391	353.045990100
0.081399598	0.914400000	0.032138889	355.331208300
0.081399543	0.914400000	0.032138887	355.331295500
0.079961399	0.914400000	0.032089310	357.555948900
0.079961344	0.914400000	0.032089308	357.556033700
0.078523351	0.914400000	0.032035553	359.818337600
0.078523296	0.914400000	0.032035551	359.818423900
0.077085472	0.914400000	0.031977559	362.130757700
0.077085417	0.914400000	0.031977557	362.130845900
