#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 6
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_FINAL_LAYER"
0.08629 0.10000 0.03261 
0.08613 0.10000 0.03260 
0.08591 0.10000 0.03260 
0.08571 0.10000 0.03260 
0.08558 0.10000 0.03261 
0.08529 0.10000 0.03264 
0.08502 0.10000 0.03268 
0.08485 0.10000 0.03273 
0.08456 0.10000 0.03284 
0.08443 0.10000 0.03289 
0.08436 0.10000 0.03293 
0.08404 0.10000 0.03311 
0.08370 0.10000 0.03327 
0.08363 0.10000 0.03329 
0.08347 0.10000 0.03333 
0.08324 0.10000 0.03339 
0.08301 0.10000 0.03342 
0.08281 0.10000 0.03345 
0.08274 0.10000 0.03345 
0.08237 0.10000 0.03349 
0.08224 0.10000 0.03351 
0.08220 0.10000 0.03351 
0.08176 0.10000 0.03355 
0.08140 0.10000 0.03360 
0.08125 0.10000 0.03361 
0.08106 0.10000 0.03363 
0.08069 0.10000 0.03367 
0.08040 0.10000 0.03370 
0.08006 0.10000 0.03373 
0.07939 0.10000 0.03380 
0.07934 0.10000 0.03380 
0.07916 0.10000 0.03381 
0.07847 0.10000 0.03385 
0.07832 0.10000 0.03386 
0.07776 0.10000 0.03389 
0.07736 0.10000 0.03392 
0.07722 0.10000 0.03392 
0.07643 0.10000 0.03395 
0.07601 0.10000 0.03395 
0.07556 0.10000 0.03396 
0.07493 0.10000 0.03397 
0.07473 0.10000 0.03397 
0.07395 0.10000 0.03398 
0.07393 0.10000 0.03399 
0.07381 0.10000 0.03399 
0.07317 0.10000 0.03401 
0.07307 0.10000 0.03402 
0.07243 0.10000 0.03406 
0.07228 0.10000 0.03407 
0.07195 0.10000 0.03410 
0.07168 0.10000 0.03413 
0.07150 0.10000 0.03415 
0.07113 0.10000 0.03419 
0.07079 0.10000 0.03424 
0.07069 0.10000 0.03425 
0.07042 0.10000 0.03429 
0.07022 0.10000 0.03432 
0.07017 0.10000 0.03433 
0.06970 0.10000 0.03439 
0.06954 0.10000 0.03441 
0.06919 0.10000 0.03446 
0.06892 0.10000 0.03450 
0.06873 0.10000 0.03452 
0.06839 0.10000 0.03460 
0.06832 0.10000 0.03461 
0.06825 0.10000 0.03464 
0.06792 0.10000 0.03475 
0.06771 0.10000 0.03490 
0.06758 0.10000 0.03500 
0.06731 0.10000 0.03527 
0.06727 0.10000 0.03530 
0.06726 0.10000 0.03531 
0.06691 0.10000 0.03554 
0.06675 0.10000 0.03563 
0.06653 0.10000 0.03574 
0.06619 0.10000 0.03592 
0.06616 0.10000 0.03593 
0.06612 0.10000 0.03596 
0.06579 0.10000 0.03615 
0.06565 0.10000 0.03622 
0.06536 0.10000 0.03637 
0.06513 0.10000 0.03647 
0.06491 0.10000 0.03657 
0.06459 0.10000 0.03670 
0.06444 0.10000 0.03677 
0.06401 0.10000 0.03692 
