#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 1
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p9144_BINS07_KS_0p5334mm_SINGLE_LAYER"
0.10684 0.91440 -0.02895 
0.10499 0.91440 -0.02871 
0.10367 0.91440 -0.02854 
0.10225 0.91440 -0.02836 
0.10060 0.91440 -0.02814 
0.09927 0.91440 -0.02796 
0.09747 0.91440 -0.02771 
0.09731 0.91440 -0.02769 
0.09707 0.91440 -0.02766 
0.09548 0.91440 -0.02743 
0.09500 0.91440 -0.02737 
0.09305 0.91440 -0.02708 
0.09235 0.91440 -0.02698 
0.09020 0.91440 -0.02666 
0.08817 0.91440 -0.02635 
0.08695 0.91440 -0.02616 
0.08408 0.91440 -0.02571 
0.08395 0.91440 -0.02569 
0.08064 0.91440 -0.02514 
0.08048 0.91440 -0.02511 
0.07751 0.91440 -0.02460 
0.07720 0.91440 -0.02455 
0.07391 0.91440 -0.02396 
0.07379 0.91440 -0.02394 
0.07053 0.91440 -0.02333 
0.06991 0.91440 -0.02320 
0.06765 0.91440 -0.02282 
0.06642 0.91440 -0.02261 
0.06605 0.91440 -0.02254 
0.06363 0.91440 -0.02228 
0.06331 0.91440 -0.02224 
0.06324 0.91440 -0.02223 
0.06112 0.91440 -0.02196 
0.05854 0.91440 -0.02152 
0.05849 0.91440 -0.02151 
0.05844 0.91440 -0.02150 
0.05552 0.91440 -0.02109 
0.05438 0.91440 -0.02082 
0.05302 0.91440 -0.02049 
0.05186 0.91440 -0.02024 
0.05034 0.91440 -0.02002 
0.04804 0.91440 -0.01951 
0.04717 0.91440 -0.01932 
0.04613 0.91440 -0.01921 
0.04400 0.91440 -0.01908 
0.04263 0.91440 -0.01883 
0.04163 0.91440 -0.01861 
0.03999 0.91440 -0.01829 
0.03898 0.91440 -0.01807 
0.03735 0.91440 -0.01772 
0.03476 0.91440 -0.01730 
0.03445 0.91440 -0.01724 
0.03423 0.91440 -0.01719 
0.03069 0.91440 -0.01638 
0.03034 0.91440 -0.01628 
0.02758 0.91440 -0.01556 
0.02749 0.91440 -0.01554 
0.02748 0.91440 -0.01554 
0.02488 0.91440 -0.01486 
0.02363 0.91440 -0.01457 
0.02180 0.91440 -0.01416 
0.01877 0.91440 -0.01387 
0.01874 0.91440 -0.01387 
0.01872 0.91440 -0.01387 
0.01837 0.91440 -0.01392 
0.01582 0.91440 -0.01424 
0.01565 0.91440 -0.01428 
0.01420 0.91440 -0.01450 
0.01303 0.91440 -0.01468 
0.01287 0.91440 -0.01467 
0.01012 0.91440 -0.01415 
0.00941 0.91440 -0.01381 
0.00740 0.91440 -0.01263 
0.00609 0.91440 -0.01170 
