#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
1.10078 1.40000 -0.02689 
1.07880 1.40000 -0.02769 
1.05708 1.40000 -0.02821 
1.03587 1.40000 -0.02845 
1.01538 1.40000 -0.02843 
0.99582 1.40000 -0.02819 
0.97732 1.40000 -0.02779 
0.96001 1.40000 -0.02724 
0.94395 1.40000 -0.02660 
0.92917 1.40000 -0.02589 
0.91567 1.40000 -0.02513 
0.90342 1.40000 -0.02433 
0.89237 1.40000 -0.02350 
0.88246 1.40000 -0.02267 
0.87360 1.40000 -0.02184 
0.86564 1.40005 -0.02172 
0.85770 1.40065 -0.02881 
0.85022 1.40146 -0.03732 
0.84419 1.40180 -0.03939 
0.83909 1.40196 -0.03928 
0.83460 1.40209 -0.03896 
0.83056 1.40227 -0.03866 
0.82681 1.40253 -0.03832 
0.82324 1.40292 -0.03790 
0.81981 1.40342 -0.03732 
0.81657 1.40399 -0.03643 
0.81362 1.40454 -0.03504 
0.81109 1.40499 -0.03305 
0.80904 1.40528 -0.03062 
0.80744 1.40542 -0.02798 
0.80625 1.40541 -0.02531 
0.80540 1.40529 -0.02270 
0.80481 1.40509 -0.02023 
0.80446 1.40483 -0.01792 
0.80428 1.40452 -0.01580 
0.80421 1.40419 -0.01387 
0.80421 1.40387 -0.01213 
0.80427 1.40356 -0.01056 
0.80434 1.40327 -0.00916 
0.80441 1.40302 -0.00790 
0.80444 1.40283 -0.00678 
0.80443 1.40268 -0.00577 
0.80435 1.40259 -0.00485 
0.80423 1.40256 -0.00401 
0.80396 1.40263 -0.00322 
0.80370 1.40271 -0.00243 
0.80353 1.40277 -0.00166 
0.80349 1.40276 -0.00062 
0.80321 1.40292 0.00000 
0.80249 1.40334 0.00067 
0.80202 1.40364 0.00184 
0.80134 1.40408 0.00286 
0.80061 1.40457 0.00402 
0.79986 1.40508 0.00534 
0.79911 1.40562 0.00676 
0.79842 1.40615 0.00835 
0.79776 1.40669 0.01008 
0.79718 1.40720 0.01198 
0.79667 1.40771 0.01404 
0.79626 1.40820 0.01627 
0.79596 1.40865 0.01869 
0.79582 1.40905 0.02129 
0.79587 1.40939 0.02407 
0.79615 1.40964 0.02701 
0.79673 1.40979 0.03009 
0.79770 1.40977 0.03324 
0.79907 1.40959 0.03641 
0.80091 1.40923 0.03946 
0.80342 1.40857 0.04197 
0.80691 1.40745 0.04289 
0.81124 1.40595 0.04161 
0.81598 1.40434 0.03836 
0.82099 1.40272 0.03274 
0.82647 1.40097 0.02300 
0.83096 1.40000 0.01619 
0.83425 1.40000 0.01677 
0.83799 1.40000 0.01737 
0.84224 1.40000 0.01802 
0.84706 1.40000 0.01871 
0.85253 1.40000 0.01945 
0.85872 1.40000 0.02022 
0.86572 1.40000 0.02102 
