#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 5
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p1_BINS07_KS_1mm_FINAL_LAYER"
0.06943 0.10000 0.03293 
0.06989 0.10000 0.03272 
0.07141 0.10000 0.03200 
0.07150 0.10000 0.03195 
0.07291 0.10000 0.03121 
0.07348 0.10000 0.03090 
0.07432 0.10000 0.03044 
0.07603 0.10000 0.02960 
0.07643 0.10000 0.02939 
0.07671 0.10000 0.02926 
0.07824 0.10000 0.02880 
0.07853 0.10000 0.02873 
0.07987 0.10000 0.02858 
0.08202 0.10000 0.02847 
0.08218 0.10000 0.02846 
0.08231 0.10000 0.02846 
0.08427 0.10000 0.02856 
0.08533 0.10000 0.02860 
0.08648 0.10000 0.02856 
0.08737 0.10000 0.02853 
0.08885 0.10000 0.02835 
0.08941 0.10000 0.02827 
0.08972 0.10000 0.02822 
0.09171 0.10000 0.02786 
0.09173 0.10000 0.02786 
0.09174 0.10000 0.02786 
0.09357 0.10000 0.02755 
0.09421 0.10000 0.02745 
0.09565 0.10000 0.02732 
0.09643 0.10000 0.02725 
0.09847 0.10000 0.02734 
0.09860 0.10000 0.02734 
0.09872 0.10000 0.02736 
0.10111 0.10000 0.02776 
0.10169 0.10000 0.02787 
0.10305 0.10000 0.02814 
0.10392 0.10000 0.02831 
0.10589 0.10000 0.02864 
0.10635 0.10000 0.02872 
0.10710 0.10000 0.02884 
0.10861 0.10000 0.02907 
0.11018 0.10000 0.02930 
0.11058 0.10000 0.02936 
0.11218 0.10000 0.02960 
0.11231 0.10000 0.02962 
0.11234 0.10000 0.02963 
0.11406 0.10000 0.02988 
0.11550 0.10000 0.03009 
0.11668 0.10000 0.03026 
0.11883 0.10000 0.03057 
0.11970 0.10000 0.03070 
0.12302 0.10000 0.03116 
0.12302 0.10000 0.03116 
0.12306 0.10000 0.03117 
0.12654 0.10000 0.03164 
0.12679 0.10000 0.03167 
0.13011 0.10000 0.03211 
0.13075 0.10000 0.03220 
0.13436 0.10000 0.03266 
0.13448 0.10000 0.03267 
0.13484 0.10000 0.03272 
0.13846 0.10000 0.03317 
0.13992 0.10000 0.03334 
